Name,Ticker,Identifier,SEDOL,Weight,Shares Held,Local Currency
KEYSIGHT TECHNOLOGIES IN,KEYS,49338L103,BQZJ0Q9,0.079249,2004846.000,USD
ONEOK INC,OKE,682680103,2130109,0.078877,4997433.000,USD
ARCH CAPITAL GROUP LTD,ACGL,G0450A105,2740542,0.078635,4135816.000,USD
ANSYS INC,ANSS,03662Q105,2045623,0.078462,975535.000,USD
DELTA AIR LINES INC,DAL,247361702,B1W9D46,0.077933,7181064.000,USD
ILLUMINA INC,ILMN,452327109,2613990,0.077822,1758720.000,USD
APTIV PLC,APTV,G6095L109,B783TY6,0.077804,3029433.000,USD
VULCAN MATERIALS CO,VMC,929160109,2931205,0.077181,1486017.000,USD
ZIMMER BIOMET HOLDINGS INC,ZBH,98956P102,2783815,0.076919,2346024.000,USD
QUANTA SERVICES INC,PWR,74762E102,2150204,0.076830,1600620.000,USD
GLOBAL PAYMENTS INC,GPN,37940X102,2712013,0.076805,2946019.000,USD
ALLSTATE CORP,ALL,020002101,2019952,0.076532,2964547.000,USD
METTLER TOLEDO INTERNATIONAL,MTD,592688105,2126249,0.076380,248942.000,USD
WEC ENERGY GROUP INC,WEC,92939U106,BYY8XK8,0.075857,3526739.000,USD
KRAFT HEINZ CO/THE,KHC,500754106,BYRY499,0.075803,8874751.000,USD
P G + E CORP,PCG,69331C108,2689560,0.075557,18002249.000,USD
GARTNER INC,IT,366651107,2372763,0.074939,881410.000,USD
AMERICAN WATER WORKS CO INC,AWK,030420103,B2R3PV1,0.074883,2161165.000,USD
HP INC,HPQ,40434L105,BYX4D52,0.074870,9679075.000,USD
MARTIN MARIETTA MATERIALS,MLM,573284106,2572079,0.074461,695298.000,USD
WEST PHARMACEUTICAL SERVICES,WST,955306105,2950482,0.073058,828958.000,USD
CBRE GROUP INC   A,CBRE,12504L109,B6WVMH3,0.072718,3531618.000,USD
WARNER BROS DISCOVERY INC,WBD,934423104,BM8JYX3,0.072464,24747481.000,USD
EDISON INTERNATIONAL,EIX,281020107,2829515,0.072231,4269738.000,USD
DISCOVER FINANCIAL SERVICES,DFS,254709108,B1YLC43,0.071831,2847137.000,USD
KEURIG DR PEPPER INC,KDP,49271V100,BD3W133,0.071487,9464823.000,USD
XYLEM INC,XYL,98419M100,B3P2CN8,0.071273,2667128.000,USD
AVALONBAY COMMUNITIES INC,AVB,053484101,2131179,0.070369,1564588.000,USD
DIAMONDBACK ENERGY INC,FANG,25278X109,B7Y8YR3,0.070219,2057490.000,USD
T ROWE PRICE GROUP INC,TROW,74144T108,2702337,0.070089,2512514.000,USD
INGERSOLL RAND INC,IR,45687V106,BL5GZ82,0.068952,4534442.000,USD
FORTIVE CORP,FTV,34959J108,BYT3MK1,0.068531,3954369.000,USD
EBAY INC,EBAY,278642103,2293819,0.068484,6066102.000,USD
CORNING INC,GLW,219350105,2224701,0.067734,8524813.000,USD
CDW CORP/DE,CDW,12514G108,BBM5MD6,0.067652,1516152.000,USD
EVERSOURCE ENERGY,ES,30040W108,BVVN4Q8,0.067349,3900313.000,USD
EQUIFAX INC,EFX,294429105,2319146,0.066538,1368935.000,USD
WEYERHAEUSER CO,WY,962166104,2958936,0.066461,8272168.000,USD
WILLIS TOWERS WATSON PLC,WTW,G96629103,BDB6Q21,0.065089,1195387.000,USD
ALBEMARLE CORP,ALB,012653101,2046853,0.065046,1309776.000,USD
MONOLITHIC POWER SYSTEMS INC,MPWR,609839105,B01Z7J1,0.064614,501321.000,USD
BAXTER INTERNATIONAL INC,BAX,071813109,2085102,0.064455,5651923.000,USD
ENPHASE ENERGY INC,ENPH,29355A107,B65SQW4,0.063846,1522303.000,USD
CARDINAL HEALTH INC,CAH,14149Y108,2175672,0.063174,2884159.000,USD
ALIGN TECHNOLOGY INC,ALGN,016255101,2679204,0.062918,810604.000,USD
TAKE TWO INTERACTIVE SOFTWRE,TTWO,874054109,2122117,0.062666,1775512.000,USD
CHURCH + DWIGHT CO INC,CHD,171340102,2195841,0.062525,2730982.000,USD
DTE ENERGY COMPANY,DTE,233331107,2280220,0.062341,2310852.000,USD
SBA COMMUNICATIONS CORP,SBAC,78410G104,BZ6TS23,0.062228,1209059.000,USD
LYONDELLBASELL INDU CL A,LYB,N53745100,B3SPXZ3,0.062107,2835122.000,USD
STATE STREET CORP,STT,857477103,2842040,0.061944,3747593.000,USD
TRACTOR SUPPLY COMPANY,TSCO,892356106,2900335,0.061467,1236486.000,USD
M + T BANK CORP,MTB,55261F104,2340168,0.061070,1895451.000,USD
HARTFORD FINANCIAL SVCS GRP,HIG,416515104,2476193,0.060538,3476751.000,USD
STERIS PLC,STE,G8473T100,BFY8C75,0.060403,1109226.000,USD
ULTA BEAUTY INC,ULTA,90384S303,B28TS42,0.060391,572182.000,USD
EQUITY RESIDENTIAL,EQR,29476L107,2319157,0.059914,3814079.000,USD
AMEREN CORPORATION,AEE,023608102,2050832,0.059467,2891002.000,USD
HEWLETT PACKARD ENTERPRISE,HPE,42824C109,BYVYWS0,0.059273,14419362.000,USD
MCCORMICK + CO NON VTG SHRS,MKC,579780206,2550161,0.058816,2802083.000,USD
GENUINE PARTS CO,GPC,372460105,2367480,0.058302,1580716.000,USD
INTL FLAVORS + FRAGRANCES,IFF,459506101,2464165,0.057969,2850561.000,USD
ROYAL CARIBBEAN CRUISES LTD,RCL,V7780T103,2754907,0.057952,2440331.000,USD
ENTERGY CORP,ETR,29364G103,2317087,0.057866,2370671.000,USD
WALGREENS BOOTS ALLIANCE INC,WBA,931427108,BTN1Y44,0.057555,8024962.000,USD
FIRSTENERGY CORP,FE,337932107,2100920,0.056618,6049322.000,USD
FAIR ISAAC CORP,FICO,303250104,2330299,0.056118,281690.000,USD
RAYMOND JAMES FINANCIAL INC,RJF,754730109,2718992,0.055532,2158490.000,USD
SOUTHWEST AIRLINES CO,LUV,844741108,2831543,0.055127,6639357.000,USD
COTERRA ENERGY INC,CTRA,127097103,2162340,0.053882,8492442.000,USD
WABTEC CORP,WAB,929740108,2955733,0.053791,2026406.000,USD
DOVER CORP,DOV,260003108,2278407,0.053704,1568529.000,USD
INVITATION HOMES INC,INVH,46187W107,BD81GW9,0.053664,6459508.000,USD
PPL CORP,PPL,69351T106,2680905,0.053563,8194592.000,USD
DARDEN RESTAURANTS INC,DRI,237194105,2289874,0.053548,1365400.000,USD
HOLOGIC INC,HOLX,436440101,2433530,0.053134,2790826.000,USD
BROADRIDGE FINANCIAL SOLUTIO,BR,11133T103,B1VP7R6,0.052591,1315507.000,USD
FIRST SOLAR INC,FSLR,336433107,B1HMF22,0.051811,1108477.000,USD
VENTAS INC,VTR,92276F100,2927925,0.051596,4479310.000,USD
LABORATORY CRP OF AMER HLDGS,LH,50540R409,2586122,0.051333,990809.000,USD
INSULET CORP,PODD,45784P101,B1XGNW4,0.051308,779281.000,USD
CENTERPOINT ENERGY INC,CNP,15189T107,2440637,0.051238,7049940.000,USD
ALEXANDRIA REAL ESTATE EQUIT,ARE,015271109,2009210,0.051011,1763908.000,USD
TELEDYNE TECHNOLOGIES INC,TDY,879360105,2503477,0.050869,524877.000,USD
VERISIGN INC,VRSN,92343E102,2142922,0.050573,1025391.000,USD
FIFTH THIRD BANCORP,FITB,316773100,2336747,0.050265,7673644.000,USD
NVR INC,NVR,62944T105,2637785,0.050223,33785.000,USD
EXPEDITORS INTL WASH INC,EXPD,302130109,2325507,0.050221,1713051.000,USD
COOPER COS INC/THE,COO,216648402,2222631,0.049871,552450.000,USD
CLOROX COMPANY,CLX,189054109,2204026,0.049469,1383474.000,USD
PRINCIPAL FINANCIAL GROUP,PFG,74251V102,2803014,0.049262,2544031.000,USD
PULTEGROUP INC,PHM,745867101,2708841,0.049232,2525439.000,USD
LAS VEGAS SANDS CORP,LVS,517834107,B02T2J7,0.049062,3660717.000,USD
REGIONS FINANCIAL CORP,RF,7591EP100,B01R311,0.048875,10488646.000,USD
FLEETCOR TECHNOLOGIES INC,FLT,339041105,B4R28B3,0.048644,824666.000,USD
BALL CORP,BALL,058498106,2073022,0.048456,3501918.000,USD
HOWMET AEROSPACE INC,HWM,443201108,BKLJ8V2,0.048293,4114909.000,USD
CMS ENERGY CORP,CMS,125896100,2219224,0.048064,3261530.000,USD
TARGA RESOURCES CORP,TRGP,87612G101,B55PZY3,0.048038,2516987.000,USD
TERADYNE INC,TER,880770102,2884183,0.047861,1747037.000,USD
MOLINA HEALTHCARE INC,MOH,60855R100,2212706,0.047805,648075.000,USD
IRON MOUNTAIN INC,IRM,46284V101,BVFTF03,0.047224,3255635.000,USD
SKYWORKS SOLUTIONS INC,SWKS,83088M102,2961053,0.047108,1785797.000,USD
ATMOS ENERGY CORP,ATO,049560105,2315359,0.046402,1603246.000,USD
UNITED AIRLINES HOLDINGS INC,UAL,910047109,B4QG225,0.046310,3654896.000,USD
MID AMERICA APARTMENT COMM,MAA,59522J103,2589132,0.045895,1293491.000,USD
CARNIVAL CORP,CCL,143658300,2523044,0.045765,11222710.000,USD
KELLOGG CO,K,487836108,2486813,0.045453,2861955.000,USD
NASDAQ INC,NDAQ,631103108,2965107,0.045080,3777232.000,USD
PAYCOM SOFTWARE INC,PAYC,70432V102,BL95MY0,0.044937,543478.000,USD
NETAPP INC,NTAP,64110D104,2630643,0.044881,2429217.000,USD
HUNTINGTON BANCSHARES INC,HBAN,446150104,2445966,0.044734,15991902.000,USD
WATERS CORP,WAT,941848103,2937689,0.044644,666711.000,USD
BROWN + BROWN INC,BRO,115236101,2692687,0.044579,2632257.000,USD
TYLER TECHNOLOGIES INC,TYL,902252105,2909644,0.044401,465589.000,USD
STEEL DYNAMICS INC,STLD,858119100,2849472,0.044207,1799561.000,USD
OMNICOM GROUP,OMC,681919106,2279303,0.044005,2279710.000,USD
FACTSET RESEARCH SYSTEMS INC,FDS,303075105,2329770,0.043984,428501.000,USD
EXPEDIA GROUP INC,EXPE,30212P303,B748CK2,0.043876,1598824.000,USD
BEST BUY CO INC,BBY,086516101,2094670,0.043763,2204460.000,USD
HUNT (JB) TRANSPRT SVCS INC,JBHT,445658107,2445416,0.043314,927855.000,USD
MARATHON OIL CORP,MRO,565849106,2910970,0.043094,7097990.000,USD
REVVITY INC,RVTY,714046109,2305844,0.042827,1414394.000,USD
GARMIN LTD,GRMN,H2906T109,B3Z5T14,0.042773,1718757.000,USD
JM SMUCKER CO/THE,SJM,832696405,2951452,0.042754,1195907.000,USD
NORTHERN TRUST CORP,NTRS,665859104,2648668,0.042733,2333919.000,USD
BUNGE LTD,BG,G16962105,2788713,0.042436,1681389.000,USD
JACOBS SOLUTIONS INC,J,46982L108,BNGC0D3,0.042372,1436630.000,USD
CINCINNATI FINANCIAL CORP,CINF,172062101,2196888,0.042139,1773034.000,USD
QUEST DIAGNOSTICS INC,DGX,74834L100,2702791,0.042095,1242964.000,USD
CF INDUSTRIES HOLDINGS INC,CF,125269100,B0G4K50,0.041560,2193395.000,USD
CONAGRA BRANDS INC,CAG,205887102,2215460,0.041291,5301276.000,USD
IDEX CORP,IEX,45167R104,2456612,0.041260,838832.000,USD
EVEREST GROUP LTD,EG,G3223R108,2556868,0.041191,480837.000,USD
ZEBRA TECHNOLOGIES CORP CL A,ZBRA,989207105,2989356,0.040640,576925.000,USD
TYSON FOODS INC CL A,TSN,902494103,2909730,0.040526,3197811.000,USD
SYNCHRONY FINANCIAL,SYF,87165B103,BP96PS6,0.040204,4893062.000,USD
PTC INC,PTC,69370C100,B95N910,0.040174,1191842.000,USD
ESSEX PROPERTY TRUST INC,ESS,297178105,2316619,0.040160,716733.000,USD
CITIZENS FINANCIAL GROUP,CFG,174610105,BQRX1X3,0.039919,5480264.000,USD
AMCOR PLC,AMCR,G0250X107,BJ1F307,0.039859,16754515.000,USD
CBOE GLOBAL MARKETS INC,CBOE,12503M108,B5834C5,0.039330,1177084.000,USD
MGM RESORTS INTERNATIONAL,MGM,552953101,2547419,0.039328,3385429.000,USD
LAMB WESTON HOLDINGS INC,LW,513272104,BDQZFJ3,0.039275,1600585.000,USD
STANLEY BLACK + DECKER INC,SWK,854502101,B3Q2FJ4,0.038655,1716959.000,USD
POOL CORP,POOL,73278L105,2781585,0.038592,436357.000,USD
AES CORP,AES,00130H105,2002479,0.038230,7480222.000,USD
SNAP ON INC,SNA,833034101,2818740,0.038018,595638.000,USD
SOLAREDGE TECHNOLOGIES INC,SEDG,83417M104,BWC52Q6,0.037956,625985.000,USD
LKQ CORP,LKQ,501889208,2971029,0.037950,2837532.000,USD
EQT CORP,EQT,26884L109,2319414,0.037675,4067064.000,USD
AVERY DENNISON CORP,AVY,053611109,2066408,0.037330,914583.000,USD
AKAMAI TECHNOLOGIES INC,AKAM,00971T101,2507457,0.037297,1705685.000,USD
DOMINO S PIZZA INC,DPZ,25754A201,B01SD70,0.037072,399536.000,USD
EVERGY INC,EVRG,30034W106,BFMXGR0,0.036644,2570561.000,USD
ALLIANT ENERGY CORP,LNT,018802108,2973821,0.036505,2811551.000,USD
LIVE NATION ENTERTAINMENT IN,LYV,538034109,B0T7YX2,0.036429,1583067.000,USD
TEXTRON INC,TXT,883203101,2885937,0.035982,2260289.000,USD
PACKAGING CORP OF AMERICA,PKG,695156109,2504566,0.035952,1007824.000,USD
MASCO CORP,MAS,574599106,2570200,0.035565,2512996.000,USD
BIO TECHNE CORP,TECH,09073M104,BSHZ3Q0,0.035482,1761401.000,USD
MOSAIC CO/THE,MOS,61945C103,B3NPHP6,0.035385,3805381.000,USD
EPAM SYSTEMS INC,EPAM,29414B104,B44Z3T8,0.035027,639370.000,USD
TRIMBLE INC,TRMB,896239100,2903958,0.034908,2775956.000,USD
MOLSON COORS BEVERAGE CO   B,TAP,60871R209,B067BM3,0.034562,2092764.000,USD
NORDSON CORP,NDSN,655663102,2641838,0.034412,601080.000,USD
CARMAX INC,KMX,143130102,2983563,0.034357,1797271.000,USD
UDR INC,UDR,902653104,2727910,0.033794,3422730.000,USD
AXON ENTERPRISE INC,AXON,05464C101,BDT5S35,0.033110,786990.000,USD
VIATRIS INC,VTRS,92556V106,BMWS3X9,0.033033,13578495.000,USD
JACK HENRY + ASSOCIATES INC,JKHY,426281101,2469193,0.033009,814491.000,USD
KIMCO REALTY CORP,KIM,49446R109,2491594,0.032894,6832863.000,USD
BROWN FORMAN CORP CLASS B,BF-B,115637209,2146838,0.032877,2016447.000,USD
LEIDOS HOLDINGS INC,LDOS,525327102,BDV82B8,0.032754,1519992.000,USD
HOST HOTELS + RESORTS INC,HST,44107P104,2567503,0.032689,8006801.000,USD
INTERPUBLIC GROUP OF COS INC,IPG,460690100,2466321,0.032568,4344251.000,USD
MATCH GROUP INC,MTCH,57667L107,BK80XH9,0.032305,3130402.000,USD
WESTERN DIGITAL CORP,WDC,958102105,2954699,0.032290,3575925.000,USD
WR BERKLEY CORP,WRB,084423102,2093644,0.032259,2272685.000,USD
CELANESE CORP,CE,150870103,B05MZT4,0.032187,1110765.000,USD
CAESARS ENTERTAINMENT INC,CZR,12769G100,BMWWGB0,0.032159,2368565.000,USD
APA CORP,APA,03743Q108,BNNF1C1,0.031981,3458408.000,USD
INTERNATIONAL PAPER CO,IP,460146103,2465254,0.031938,4027873.000,USD
CAMDEN PROPERTY TRUST,CPT,133131102,2166320,0.031934,1233180.000,USD
HEALTHPEAK PROPERTIES INC,PEAK,42250P103,BJBLRK3,0.031495,6123208.000,USD
TELEFLEX INC,TFX,879369106,2881407,0.031438,525308.000,USD
FMC CORP,FMC,302491303,2328603,0.031411,1403628.000,USD
ETSY INC,ETSY,29786A106,BWTN5N1,0.031114,1401637.000,USD
LOEWS CORP,L,540424108,2523022,0.030972,2172662.000,USD
INCYTE CORP,INCY,45337C102,2471950,0.030947,2075994.000,USD
HORMEL FOODS CORP,HRL,440452100,2437264,0.030629,3225017.000,USD
C.H. ROBINSON WORLDWIDE INC,CHRW,12541W209,2116228,0.030107,1315684.000,USD
WYNN RESORTS LTD,WYNN,983134107,2963811,0.029739,1169208.000,USD
NISOURCE INC,NI,65473P105,2645409,0.029620,4507443.000,USD
SEAGATE TECHNOLOGY HOLDINGS,STX,G7997R103,BKVD2N4,0.029583,2173596.000,USD
ALLEGION PLC,ALLE,G0176J109,BFRT3W7,0.029391,989751.000,USD
GEN DIGITAL INC,GEN,668771108,BJN4XN5,0.029390,6416626.000,USD
BORGWARNER INC,BWA,099724106,2111955,0.028554,2656216.000,USD
KEYCORP,KEY,493267108,2490911,0.028383,10452125.000,USD
HENRY SCHEIN INC,HSIC,806407102,2416962,0.028376,1515140.000,USD
PENTAIR PLC,PNR,G7S00T104,BLS09M3,0.028370,1829665.000,USD
AMERICAN AIRLINES GROUP INC,AAL,02376R102,BCV7KT2,0.028352,7286719.000,USD
CHARLES RIVER LABORATORIES,CRL,159864107,2604336,0.028104,569766.000,USD
QORVO INC,QRVO,74736K101,BR9YYP4,0.027997,1118282.000,USD
EASTMAN CHEMICAL CO,EMN,277432100,2298386,0.027763,1341037.000,USD
CERIDIAN HCM HOLDING INC,CDAY,15677J108,BFX1V56,0.027304,1706177.000,USD
ROLLINS INC,ROL,775711104,2747305,0.027112,2587895.000,USD
GLOBE LIFE INC,GL,37959E102,BK6YKG1,0.026879,1008243.000,USD
TAPESTRY INC,TPR,876030107,BF09HX3,0.026458,2691819.000,USD
MARKETAXESS HOLDINGS INC,MKTX,57060D108,B03Q9D0,0.026391,419130.000,USD
REGENCY CENTERS CORP,REG,758849103,2726177,0.026333,1724808.000,USD
SMITH (A.O.) CORP,AOS,831865209,2816023,0.025109,1429367.000,USD
UNIVERSAL HEALTH SERVICES B,UHS,913903100,2923785,0.025075,717059.000,USD
JUNIPER NETWORKS INC,JNPR,48203R104,2431846,0.025005,3588154.000,USD
PINNACLE WEST CAPITAL,PNW,723484101,2048804,0.024955,1252766.000,USD
F5 INC,FFIV,315616102,2427599,0.024626,662836.000,USD
CAMPBELL SOUP CO,CPB,134429109,2162845,0.024385,2255143.000,USD
GENERAC HOLDINGS INC,GNRC,368736104,B6197Q2,0.024037,696731.000,USD
HUNTINGTON INGALLS INDUSTRIE,HII,446413106,B40SSC9,0.023983,443142.000,USD
NRG ENERGY INC,NRG,629377508,2212922,0.023486,2620633.000,USD
BIO RAD LABORATORIES A,BIO,090572207,2098508,0.023329,237405.000,USD
FOX CORP   CLASS A,FOXA,35137L105,BJJMGL2,0.023242,3016579.000,USD
BOSTON PROPERTIES INC,BXP,101121101,2019479,0.023200,1567865.000,USD
ROBERT HALF INC,RHI,770323103,2110703,0.022982,1226058.000,USD
DENTSPLY SIRONA INC,XRAY,24906P109,BYNPPC6,0.022861,2411302.000,USD
CATALENT INC,CTLT,148806102,BP96PQ4,0.022714,2016535.000,USD
NORWEGIAN CRUISE LINE HOLDIN,NCLH,G66721104,B9CGTC3,0.021920,4620715.000,USD
FRANKLIN RESOURCES INC,BEN,354613101,2350684,0.021854,3193843.000,USD
WESTROCK CO,WRK,96145D105,BYR0914,0.021213,2831413.000,USD
HASBRO INC,HAS,418056107,2414580,0.021138,1420901.000,USD
BATH + BODY WORKS INC,BBWI,070830104,BNNTGJ5,0.020831,2541046.000,USD
WHIRLPOOL CORP,WHR,963320106,2960384,0.020750,606873.000,USD
PARAMOUNT GLOBAL CLASS B,PARA,92556H206,BKTNTR9,0.019852,5625724.000,USD
INVESCO LTD,IVZ,G491BT108,B28XP76,0.019684,5067906.000,USD
NEWS CORP   CLASS A,NWSA,65249B109,BBGVT40,0.019587,4344983.000,USD
FEDERAL REALTY INVS TRUST,FRT,313745101,BN7P9B2,0.019549,817790.000,USD
SEALED AIR CORP,SEE,81211K100,2232793,0.018062,1653982.000,USD
ASSURANT INC,AIZ,04621X108,2331430,0.017977,593486.000,USD
COMERICA INC,CMA,200340107,2212870,0.017221,1466755.000,USD
DXC TECHNOLOGY CO,DXC,23355L106,BYXD7B3,0.017044,2559996.000,USD
VF CORP,VFC,918204108,2928683,0.016331,3699548.000,USD
ALASKA AIR GROUP INC,ALK,011659109,2012605,0.015557,1381740.000,USD
MOHAWK INDUSTRIES INC,MHK,608190104,2598699,0.015132,572454.000,USD
DAVITA INC,DVA,23918K108,2898087,0.014930,620565.000,USD
ORGANON + CO,OGN,68622V106,BLDC8J4,0.014294,2813556.000,USD
ZIONS BANCORP NA,ZION,989701107,2989828,0.014041,1679248.000,USD
RALPH LAUREN CORP,RL,751212101,B4V9661,0.013752,459188.000,USD
ADVANCE AUTO PARTS INC,AAP,00751Y106,2822019,0.011275,674312.000,USD
FOX CORP   CLASS B,FOX,35137L204,BJJMGY5,0.011274,1557253.000,USD
LINCOLN NATIONAL CORP,LNC,534187109,2516378,0.011065,1726146.000,USD
NEWELL BRANDS INC,NWL,651229106,2635701,0.009842,4203153.000,USD
NEWS CORP   CLASS B,NWS,65249B208,BBGVT51,0.006219,1362644.000,USD
FORTREA HOLDINGS INC,FTRE,34965K107,BRXYZ57,0.000003,318.000,USD